SourceFile,EXIF:CreateDate,RTF:CreateDate,PDF:CreateDate,FlashPix:CreateDate,File:FileCreateDate,QuickTime:CreateDate,XMP:CreateDate,Composite:DateTimeOriginal,EXIF:DateTimeOriginal,XMP:DateTimeOriginal,XMP:DateTimeDigitized,QuickTime:MediaCreateDate,Composite:SubSecCreateDate,XMP:CreationDate,Matroska:DateTimeOriginal,QuickTime:TrackCreateDate,XML:CreateDate,Composite:SubSecDateTimeOriginal,EXIF:CreateDate_ts,RTF:CreateDate_ts,PDF:CreateDate_ts,FlashPix:CreateDate_ts,File:FileCreateDate_ts,QuickTime:CreateDate_ts,XMP:CreateDate_ts,Composite:DateTimeOriginal_ts,EXIF:DateTimeOriginal_ts,XMP:DateTimeOriginal_ts,XMP:DateTimeDigitized_ts,QuickTime:MediaCreateDate_ts,Composite:SubSecCreateDate_ts,XMP:CreationDate_ts,Matroska:DateTimeOriginal_ts,QuickTime:TrackCreateDate_ts,XML:CreateDate_ts,Composite:SubSecDateTimeOriginal_ts,EarliestTimestamp,EarliestYear
D:/HDD Data/0_duplicates/~$VSCB BP_Review_25.07.2018_2 scenarios_DH.xlsx,,,,,2025:10:31 17:33:21+01:00,,,,,,,,,,,,,,,,,,1761928401.0,,,,,,,,,,,,,,1761928401.0,2025
D:/HDD Data/Downloads/Recruitment Activity (59).xlsx,,,,,2025:10:31 17:34:20+01:00,,,,,,,,,,,,2020:09:03 06:34:37Z,,,,,,1761928460.0,,,,,,,,,,,,1599114877.0,,1599114877.0,2020
D:/HDD Data/Downloads/Book2 (1).xlsx,,,,,2025:10:31 17:34:12+01:00,,,,,,,,,,,,2020:05:13 08:07:31Z,,,,,,1761928452.0,,,,,,,,,,,,1589357251.0,,1589357251.0,2020
D:/HDD Data/OTHER/Downloads/PJ of DTEK Trading SA.xlsx,,,,,2025:10:31 17:52:53+01:00,,,,,,,,,,,,2006:09:28 05:33:49Z,,,,,,1761929573.0,,,,,,,,,,,,1159421629.0,,1159421629.0,2006
D:/HDD Data/OTHER/Downloads/Preview_Danny_Howard_Futuristic_Polar_Bears_-_Romani_(get-tune.net).mp3,,,,,2025:10:31 17:52:53+01:00,,,,,,,,,,,,,,,,,,1761929573.0,,,,,,,,,,,,,,1761929573.0,2025
D:/HDD Data/OTHER/Downloads/Productech. Purchase orders status.xlsx,,,,,2025:10:31 17:52:54+01:00,,,,,,,,,,,,,,,,,,1761929574.0,,,,,,,,,,,,,,1761929574.0,2025
D:/HDD Data/OTHER/CFA/2012.CFA.L1.Schweser.Practice.Exams.1.pdf,,,2011:12:14 07:06:10+08:00,,2025:10:31 17:51:26+01:00,,2011:12:14 07:06:10+08:00,,,,,,,,,,,,,,1323817570.0,,1761929486.0,,1323817570.0,,,,,,,,,,,,1323817570.0,2011
D:/HDD Data/Luxoft/FS updates/non-GSA per horizontal 30.05.2019.pdf,,,2019:05:29 13:04:43+03:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1559124283.0,,1761929451.0,,,,,,,,,,,,,,1559124283.0,2019
D:/HDD Data/Downloads/Recruitment Activity (56).xlsx,,,,,2025:10:31 17:34:20+01:00,,,,,,,,,,,,2020:09:01 12:01:02Z,,,,,,1761928460.0,,,,,,,,,,,,1598961662.0,,1598961662.0,2020
D:/HDD Data/Downloads/Recruitment Activity (52).xlsx,,,,,2025:10:31 17:34:20+01:00,,,,,,,,,,,,2020:08:11 09:19:46Z,,,,,,1761928460.0,,,,,,,,,,,,1597137586.0,,1597137586.0,2020
