FileExt,Software,Description,FileCategory
7Z,7-Zip,7-Zip Compressed Archive,Archive
A6R,Quiz Interactive App,Authorware Runtime,Application
AC3,"VLC, Windows Media Player",Audio Codec 3,Audio
ACT,Games,Other,Application
AVI,"VLC, Windows Media Player, Media Player Classic",Audio Video Interleave,Video
AXD,Other,ASP.NET Web Handler files,Other
BIB,"LaTeX editors (TeXstudio, Overleaf), JabRef",BibTeX bibliography file,Documents-BIB
BIN,Various,Binary File,Application
BMP,"Paint, Photoshop, Windows Photos, Preview",Bitmap Image File,Image
BOOT,Linux,Boot Configuration,Application
C32,Linux,Linux System File,Application
CACHED,Games,Cache File,Application
CAT,Windows,Security Catalog File,Application
CFG,Any Text Editor,Configuration File,Config
CODE-WORKSPACE,VS Code,Other,Config
COM,Windows,Executable Command,Application
CONF,Any Text Editor,Configuration File,Config
CPK,Games,CRI Middleware Package File,Application
CRC,Other,Other,Other
CS,VS Code,C# Source File,Script
CSS,Any Text Editor,Cascading Style Sheet,Web
CSV,Microsoft Excel,Comma-Separated Values,Data-Excel
DAT,Games,Data File,Application
DB,SQLite,Database File,Database
DESKTOP,Linux,Linux Shortcut / Launcher,Application
DJVU,"DjVu Viewer, SumatraPDF",DjVu files,Ebook
DLL,Windows,Dynamic Link Library,Application
DOC,Microsoft Word,Microsoft Word 97–2003 Document,Documents-Word
DOCX,Microsoft Word,Microsoft Word Open XML Document,Documents-Word
DOTM,Microsoft Word,Microsoft Word Macro-Enabled Template,Documents-Word
DOWNLOAD,Other,Other,Other
EML,Microsoft Outlook,Email Message File,Email
EPUB,"Calibre, Adobe Digital Editions",Electronic Publication,Ebook
ETL,OS Inspection,Event Trace Log,Application
EXE,Windows,Executable Command,Application
FLAC,"VLC, Windows Media Player",Free Lossless Audio Codec,Audio
FLV,"VLC, Adobe Flash Player",Flash Video,Video
FPS,Microsoft Outlook,Personal Storage Table (Outlook Data File),Email
FPX,Microsoft Outlook,Personal Storage Table (Outlook Data File),Email
GIF,"Paint, Photoshop, Windows Photos, Preview",Graphics Interchange Format,Image
GZ,"WinRAR, 7-Zip, Gzip",Gzip Compressed Archive,Archive
HEIC,"Paint, Photoshop, Windows Photos, Preview",High Efficiency Image Container,Image
HTM,Web Browsers,HyperText Markup,Web
HTML,Web Browsers,HyperText Markup Language,Web
IDX,Git,Pack index file,Application
IIF,Intuit QuickBooks,Intuit Interchange Format,Data-Other
INF,Windows,Setup Information File,Application
INI,Windows,Initialization File,Application
IPYNB,VS Code,IPython Notebook,Script
JPEG,"Paint, Photoshop, Windows Photos, Preview",Joint Photographic Experts Group,Image
JPG,"Paint, Photoshop, Windows Photos, Preview",Joint Photographic Experts Group,Image
JS,VS Code,JavaScript Source File,Script
JSON,VS Code,JavaScript Object Notation,Data-Other
JUPYTERLAB-SETTINGS,Jupyter,Jupyter Lab Settings File,Config
JUPYTERLAB-WORKSPACE,Jupyter,Jupyter Lab Workspace File,Config
LNG,Exam Interactive App,Language Resource File,Application
LNK,Windows,Windows Shortcut,Application
LOADED_0,Other,Other,Other
LOG,Other,Log File,Other
M,MATLAB,MATLAB Source File,Script
M3U,Other,MP3 link,Web
M4A,"VLC, Windows Media Player",MPEG-4 Audio,Audio
MAT,MATLAB,MATLAB Data File,Data-Other
MD,Any Text Editor,Markdown file,Documents-Text
MDB,Microsoft Access,Microsoft Access Database File,Database
MKV,"VLC, Windows Media Player",Matroska Video,Video
MO3,Games,Compressed module music format,Application
MOV,"VLC, QuickTime Player",QuickTime Movie,Video
